,1,2,3,4,5,6,7
m0,0,0,0,0,0,0,0
m1,0,0,0,1,0,0,0
m2,0,0,0,0,1,0,0
m3,0,0,0,1,1,0,0
m4,0,0,0,0,0,1,0
m5,0,0,0,1,0,1,0
m6,0,0,0,0,1,1,0
m7,0,0,0,1,1,1,0
m8,0,0,1,0,0,0,0
m9,0,0,1,1,0,0,0
m10,0,0,1,0,1,0,0
m11,0,0,1,1,1,0,0
m12,0,0,1,0,0,1,0
m13,0,0,1,1,0,1,0
m14,0,0,1,0,1,1,0
m15,0,0,1,1,1,1,0
m16,0,1,0,0,0,0,0
m17,0,1,0,1,0,0,0
m18,0,1,0,0,1,0,0
m19,0,1,0,1,1,0,0
m20,0,1,0,0,0,1,0
m21,0,1,0,1,0,1,0
m22,0,1,0,0,1,1,0
m23,0,1,0,1,1,1,0
m24,0,1,1,0,0,0,0
m25,0,1,1,1,0,0,0
m26,0,1,1,0,1,0,0
m27,0,1,1,1,1,0,0
m28,0,1,1,0,0,1,0
m29,0,1,1,1,0,1,0
m30,0,1,1,0,1,1,0
m31,0,1,1,1,1,1,0
m32,0,0,0,0,0,0,1
m33,0,0,0,1,0,0,1
m34,0,0,0,0,1,0,1
m35,0,0,0,1,1,0,1
m36,0,0,0,0,0,1,1
m37,0,0,0,1,0,1,1
m38,0,0,0,0,1,1,1
m39,0,0,0,1,1,1,1
m40,0,0,1,0,0,0,1
m41,0,0,1,1,0,0,1
m42,0,0,1,0,1,0,1
m43,0,0,1,1,1,0,1
m44,0,0,1,0,0,1,1
m45,0,0,1,1,0,1,1
m46,0,0,1,0,1,1,1
m47,0,0,1,1,1,1,1
m48,0,1,0,0,0,0,1
m49,0,1,0,1,0,0,1
m50,0,1,0,0,1,0,1
m51,0,1,0,1,1,0,1
m52,0,1,0,0,0,1,1
m53,0,1,0,1,0,1,1
m54,0,1,0,0,1,1,1
m55,0,1,0,1,1,1,1
m56,0,1,1,0,0,0,1
m57,0,1,1,1,0,0,1
m58,0,1,1,0,1,0,1
m59,0,1,1,1,1,0,1
m60,0,1,1,0,0,1,1
m61,0,1,1,1,0,1,1
m62,0,1,1,0,1,1,1
m63,0,1,1,1,1,1,1
m64,1,0,0,0,0,0,0
m65,1,0,0,1,0,0,0
m66,1,0,0,0,1,0,0
m67,1,0,0,1,1,0,0
m68,1,0,0,0,0,1,0
m69,1,0,0,1,0,1,0
m70,1,0,0,0,1,1,0
m71,1,0,0,1,1,1,0
m72,1,0,1,0,0,0,0
m73,1,0,1,1,0,0,0
m74,1,0,1,0,1,0,0
m75,1,0,1,1,1,0,0
m76,1,0,1,0,0,1,0
m77,1,0,1,1,0,1,0
m78,1,0,1,0,1,1,0
m79,1,0,1,1,1,1,0
m80,1,1,0,0,0,0,0
m81,1,1,0,1,0,0,0
m82,1,1,0,0,1,0,0
m83,1,1,0,1,1,0,0
m84,1,1,0,0,0,1,0
m85,1,1,0,1,0,1,0
m86,1,1,0,0,1,1,0
m87,1,1,0,1,1,1,0
m88,1,1,1,0,0,0,0
m89,1,1,1,1,0,0,0
m90,1,1,1,0,1,0,0
m91,1,1,1,1,1,0,0
m92,1,1,1,0,0,1,0
m93,1,1,1,1,0,1,0
m94,1,1,1,0,1,1,0
m95,1,1,1,1,1,1,0
m96,1,0,0,0,0,0,1
m97,1,0,0,1,0,0,1
m98,1,0,0,0,1,0,1
m99,1,0,0,1,1,0,1
m100,1,0,0,0,0,1,1
m101,1,0,0,1,0,1,1
m102,1,0,0,0,1,1,1
m103,1,0,0,1,1,1,1
m104,1,0,1,0,0,0,1
m105,1,0,1,1,0,0,1
m106,1,0,1,0,1,0,1
m107,1,0,1,1,1,0,1
m108,1,0,1,0,0,1,1
m109,1,0,1,1,0,1,1
m110,1,0,1,0,1,1,1
m111,1,0,1,1,1,1,1
m112,1,1,0,0,0,0,1
m113,1,1,0,1,0,0,1
m114,1,1,0,0,1,0,1
m115,1,1,0,1,1,0,1
m116,1,1,0,0,0,1,1
m117,1,1,0,1,0,1,1
m118,1,1,0,0,1,1,1
m119,1,1,0,1,1,1,1
m120,1,1,1,0,0,0,1
m121,1,1,1,1,0,0,1
m122,1,1,1,0,1,0,1
m123,1,1,1,1,1,0,1
m124,1,1,1,0,0,1,1
m125,1,1,1,1,0,1,1
m126,1,1,1,0,1,1,1
m127,1,1,1,1,1,1,1
