FBAs,Biomass
m0,0.87827
m1,0.396393
m2,0.202862
m3,0.396393
m4,0.87827
m5,0.396393
m6,0.205694
m7,0.396393
m8,0.883073
m9,0.398741
m10,0.206636
m11,0.398741
m12,0.883073
m13,0.398741
m14,0.203778
m15,0.398741
m16,0.87827
m17,0.396393
m18,0.202862
m19,0.396393
m20,0.87827
m21,0.396393
m22,0.202862
m23,0.396393
m24,0.883073
m25,0.398741
m26,0.206636
m27,0.398741
m28,0.883073
m29,0.398741
m30,0.206636
m31,0.398741
m32,0.87827
m33,0.396393
m34,0.202862
m35,0.396393
m36,0.87827
m37,0.396393
m38,0.202862
m39,0.396393
m40,0.883073
m41,0.398741
m42,0.203778
m43,0.398741
m44,0.883073
m45,0.398741
m46,0.203778
m47,0.398741
m48,0.87827
m49,0.396393
m50,0.205694
m51,0.396393
m52,0.87827
m53,0.396393
m54,0.202862
m55,0.396393
m56,0.883073
m57,0.398741
m58,0.203778
m59,0.398741
m60,0.883073
m61,0.398741
m62,0.203778
m63,0.398741
m64,0.87827
m65,0.396393
m66,0.202862
m67,0.396393
m68,0.87827
m69,0.396393
m70,0.205694
m71,0.396393
m72,0.883073
m73,0.398741
m74,0.203778
m75,0.398741
m76,0.883073
m77,0.398741
m78,0.203778
m79,0.398741
m80,0.87827
m81,0.396393
m82,0.202862
m83,0.396393
m84,0.87827
m85,0.396393
m86,0.205694
m87,0.396393
m88,0.883073
m89,0.398741
m90,0.203778
m91,0.398741
m92,0.883073
m93,0.398741
m94,0.206636
m95,0.398741
m96,0.87827
m97,0.396393
m98,0.202862
m99,0.396393
m100,0.87827
m101,0.396393
m102,0.205694
m103,0.396393
m104,0.883073
m105,0.398741
m106,0.206636
m107,0.398741
m108,0.883073
m109,0.398741
m110,0.203778
m111,0.398741
m112,0.87827
m113,0.396393
m114,0.205694
m115,0.396393
m116,0.87827
m117,0.396393
m118,0.205694
m119,0.396393
m120,0.883073
m121,0.398741
m122,0.203778
m123,0.398741
m124,0.883073
m125,0.398741
m126,0.203778
m127,0.398741
