FBAs,Biomass
m0,0.129823
m1,0.259537
m2,0.306145
m3,0.259537
m4,0.170735
m5,0.417114
m6,0.182998
m7,0.417114
m8,0.154711
m9,0.23574
m10,0.289634
m11,0.23574
m12,0.102111
m13,0.422201
m14,0.102548
m15,0.422201
m16,0.129823
m17,0.259537
m18,0.306145
m19,0.259537
m20,0.170735
m21,0.417114
m22,0.182998
m23,0.417114
m24,0.154711
m25,0.23574
m26,0.289634
m27,0.23574
m28,0.102111
m29,0.422201
m30,0.102548
m31,0.422201
m32,0.129823
m33,0.259537
m34,0.306145
m35,0.259537
m36,0.170735
m37,0
m38,0.162135
m39,0.417114
m40,0.154711
m41,0.23574
m42,0.289634
m43,0.23574
m44,0.102111
m45,0.422201
m46,0.102548
m47,0.422201
m48,0.129823
m49,0.259537
m50,0.306145
m51,0.259537
m52,0.170735
m53,0
m54,0.182998
m55,0.417114
m56,0.154711
m57,0.23574
m58,0.289634
m59,0.23574
m60,0.102111
m61,0.422201
m62,0.102548
m63,0.422201
m64,0.129823
m65,0.259537
m66,0.306145
m67,0.259537
m68,0.170735
m69,0.433068
m70,0.182998
m71,0
m72,0.154711
m73,0.23574
m74,0.289634
m75,0.23574
m76,0.102111
m77,0.422201
m78,0.102548
m79,0.422201
m80,0.129823
m81,0.259537
m82,0.306145
m83,0.259537
m84,0.170735
m85,0.417114
m86,0.182998
m87,0.433068
m88,0.154711
m89,0.23574
m90,0.289634
m91,0.23574
m92,0.102111
m93,0.422201
m94,0.102548
m95,0.422201
m96,0.129823
m97,0.259537
m98,0.306145
m99,0.259537
m100,0.170735
m101,0.417114
m102,0.182998
m103,0
m104,0.154711
m105,0.23574
m106,0.289634
m107,0.23574
m108,0.102111
m109,0.422201
m110,0.102548
m111,0.422201
m112,0.129823
m113,0.259537
m114,0.306145
m115,0.259537
m116,0.170735
m117,0.417114
m118,0.182998
m119,0
m120,0.154711
m121,0.23574
m122,0.289634
m123,0.23574
m124,0.102111
m125,0.422201
m126,0.102548
m127,0.422201
